feature,mean_abs_shap,metabolite,block
Streptomyces sp. SCSIO 03032,0.19075125506157084,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Allokutzneria albata,0.17922865524481912,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Amycolatopsis keratiniphila,0.17171435102364402,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Thermomonospora curvata,0.1490685152791656,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Actinomadura amylolytica,0.1343638211055319,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Jatrophihabitans sp. GAS493,0.12830493651589114,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Thermobispora bispora,0.12329815010585032,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Streptomyces sp. TLI_053,0.12152714722947304,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Amycolatopsis sp. BJA-103,0.11712307637599993,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Amycolatopsis orientalis,0.11681341982214893,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Kutzneria albida,0.11661942447050679,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Nocardiopsis dassonvillei,0.11636023500714131,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Micromonospora narathiwatensis,0.10958823745154511,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Nakamurella panacisegetis,0.10942443368841322,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Actinoalloteichus sp. GBA129-24,0.10548090794372282,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Phycicoccus dokdonensis,0.10491174501643226,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Micromonospora auratinigra,0.1019811448136161,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Kitasatospora aureofaciens,0.09746712537597235,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Kitasatospora setae,0.09671011563433557,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Nakamurella multipartita,0.09513915508902718,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Nonomuraea sp. ATCC 55076,0.08877975219234135,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Nocardiopsis alba,0.08146215624529707,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Streptosporangium sp. 'caverna',0.07786180177421244,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Amycolatopsis albispora,0.07723604117817774,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Catenulispora acidiphila,0.0755772227300086,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Nocardiopsis gilva,0.07328027174001192,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Streptosporangium roseum,0.06973338532435605,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Streptacidiphilus sp. DSM 106435,0.06553285793917626,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Kitasatospora sp. MMS16-BH015,0.06471694752657861,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Micromonospora coxensis,0.06458960836822472,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Pseudomonas lini,0.05980743444753252,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Amycolatopsis methanolica,0.055984233635555776,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Micromonospora rifamycinica,0.05346944588534798,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Frankia casuarinae,0.05265230710584942,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Actinosynnema pretiosum,0.05060171411762435,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Plantactinospora sp. KBS50,0.04954738249667081,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Intrasporangium calvum,0.04708986380951515,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Pseudonocardia sp. HH130629-09,0.04332785741916622,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Pseudomonas frederiksbergensis,0.04040093711780765,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Amycolatopsis mediterranei,0.039245157307979256,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Actinoplanes teichomyceticus,0.03866131459621588,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Micromonospora echinaurantiaca,0.037832378404992685,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Verrucosispora maris,0.037830902178629625,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Massilia sp. YMA4,0.03718119183667845,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Planctomyces sp. SH-PL62,0.036805754418906204,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Actinoalloteichus sp. AHMU CJ021,0.03591662460469433,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Streptomyces cattleya,0.035714428528849367,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Amycolatopsis sp. AA4,0.03462597538940542,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Micromonospora siamensis,0.03380142276586813,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Massilia sp. NR 4-1,0.03307587872486944,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Micromonospora krabiensis,0.03259618978169986,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Janthinobacterium agaricidamnosum,0.03256786911449556,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Streptomyces sp. CMB-StM0423,0.032422338020990864,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Janthinobacterium sp. 1_2014MBL_MicDiv,0.032014804929570685,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Streptomyces sp. CNQ-509,0.03186433014306754,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Micromonospora echinospora,0.02959599856041769,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Plantactinospora sp. BB1,0.029380811790936243,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Pseudonocardia sp. AL041005-10,0.029326048052790897,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Saccharothrix espanaensis,0.02913779365677862,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Micromonospora sp. B006,0.028797590903958607,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Streptomyces virus R4,0.0286980147602069,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Alloactinosynnema sp. L-07,0.028465514661456436,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Arsenicicoccus sp. oral taxon 190,0.027789328150952357,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Alcanivorax sp. N3-2A,0.026865912840422293,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Homo sapiens,0.026120419955841533,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Nocardioides sp. 78,0.025687591410486207,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Pseudonocardia sp. HH130630-07,0.025563895144132206,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Bradyrhizobium lablabi,0.02550983073488556,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Saccharopolyspora erythraea,0.02482823707607717,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Nocardia terpenica,0.024293344076521253,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Micromonospora aurantiaca,0.024240604204632445,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Streptomyces xinghaiensis,0.024096250657889205,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Thermobifida fusca,0.023840180074613578,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Massilia oculi,0.023604166259180905,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Rhodococcus ruber,0.023561226929722952,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Pseudomonas sp. ATCC 13867,0.02304913619635362,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Streptomyces sp. Tu6071,0.02268306397808488,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Stackebrandtia nassauensis,0.02241356983413565,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Auraticoccus monumenti,0.02237646179319319,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
Pimelobacter simplex,0.022375033018606962,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,MG
