feature,mean_abs_shap
Actinomadura amylolytica,0.1265385553824324
Weeksella virosa,0.11325064202210665
Alcanivorax sp. N3-2A,0.11008684757763748
Kitasatospora sp. MMS16-BH015,0.09360288062440478
Streptomyces cattleya,0.0903011384901956
Candidatus Solibacter usitatus,0.08349102500666343
Streptomyces sp. TLI_053,0.08127683411259216
Kitasatospora aureofaciens,0.0806021267601765
Kutzneria albida,0.08058865391300793
Amycolatopsis orientalis,0.08046559059812107
Actinoalloteichus sp. GBA129-24,0.07834244742099479
Thermomonospora curvata,0.07813496284995497
Streptacidiphilus sp. DSM 106435,0.0758554067797694
Micromonospora auratinigra,0.07583638038761939
Nakamurella multipartita,0.07560210083076438
Streptomyces sp. SCSIO 03032,0.07222120302103786
Thermobispora bispora,0.07144395206844927
Frankia sp. QA3,0.0672725275872363
Catenulispora acidiphila,0.06411062377819271
Pseudomonas protegens,0.06386694783279591
Intrasporangium calvum,0.0596526910173659
Nocardiopsis dassonvillei,0.059009046281502914
Amycolatopsis keratiniphila,0.058607607645623394
Nocardiopsis gilva,0.05850138384274547
Opitutus sp. GAS368,0.05705470927039436
Nakamurella panacisegetis,0.05702345340423274
Thermobifida fusca,0.04978797597894278
Streptosporangium roseum,0.049707679730075935
Amycolatopsis methanolica,0.04909381526172357
Methylotenera versatilis,0.04716460120804208
Phycicoccus dokdonensis,0.04138511660034064
Cellulosimicrobium cellulans,0.04115818317698023
Pseudomonas sp. TKP,0.040766738840073063
Rhizobium leguminosarum,0.04018680817475476
Burkholderia pseudomallei,0.03992569943572226
Jiangella alkaliphila,0.03954611279644644
Kitasatospora setae,0.03884359135951541
Saccharothrix espanaensis,0.038723910255121924
Jatrophihabitans sp. GAS493,0.03757136298253693
Homo sapiens,0.03714440560844273
Streptomyces xiamenensis,0.037038942439702356
Allokutzneria albata,0.03545693299845363
Spirosoma pollinicola,0.034734226594954704
Jiangella sp. DSM 45060,0.03417073973786749
Actinosynnema pretiosum,0.03312729420188237
Halomonas sp. JS92-SW72,0.03278762159153996
Amycolatopsis albispora,0.03230594020066756
Nocardiopsis alba,0.032145531391424266
Micromonospora echinospora,0.03187049096839518
Frankia inefficax,0.030756843622602285
Sulfurihydrogenibium sp. YO3AOP1,0.03071754492836421
Nocardia seriolae,0.030554247611881195
Cellulomonas fimi,0.02929149373121806
Serinicoccus sp. JLT9,0.02752043519574462
Streptomyces xinghaiensis,0.027505200387880045
Muricauda ruestringensis,0.027053561621974257
Actinopolymorpha singaporensis,0.026937282928548342
Pseudomonas asplenii,0.026892809213441414
Sphingobium sp. RAC03,0.026600627501681566
Rhodococcus ruber,0.026179154226833975
Caulobacter sp. K31,0.02568666743584066
Nonomuraea sp. ATCC 55076,0.025444451322154345
Micromonospora echinaurantiaca,0.02533793225101694
Burkholderia sp. CCGE1002,0.025287886008350743
Alloactinosynnema sp. L-07,0.025034129965720162
Arsenicicoccus sp. oral taxon 190,0.024886713886539936
Streptomyces sp. CMB-StM0423,0.024670300659891932
Cellulomonas gilvus,0.024292160102636535
Saccharopolyspora erythraea,0.024216299806111452
Frankia casuarinae,0.023987204530934114
Streptosporangium sp. 'caverna',0.023889897883844564
Plantactinospora sp. BB1,0.023573355634599818
Pseudonocardia sp. HH130629-09,0.023471612800632972
Clostridium botulinum,0.02302104364969751
Glutamicibacter nicotianae,0.022658658399671423
Rhodococcus aetherivorans,0.022620802354960428
Janibacter indicus,0.022170897340416888
Frankia sp. EAN1pec,0.02198446407668819
Micromonospora rifamycinica,0.02197011493649398
Micromonospora purpureochromogenes,0.021966619572187224
Pseudomonas reinekei,0.021884252645234664
Massilia sp. WG5,0.021826835644697493
Amycolatopsis sp. AA4,0.021649059121632914
Micromonospora inositola,0.02155824581788645
Pseudomonas cichorii,0.0215549100151345
Kytococcus sedentarius,0.021166894424550338
Amycolatopsis sp. BJA-103,0.02060011623065014
Micromonospora krabiensis,0.02041688971361824
Granulibacter bethesdensis,0.020380345165595094
Alteromonas mediterranea,0.0200581206801302
Saccharomonospora marina,0.020021001602787913
Pseudomonas silesiensis,0.019608935926819223
Micromonospora siamensis,0.019526690581630576
Candidatus Koribacter versatilis,0.0194616960674261
Sanguibacter keddieii,0.019283359123439217
Paraburkholderia sprentiae,0.018628841750503965
Actinoalloteichus sp. AHMU CJ021,0.018456327093337662
Pseudomonas umsongensis,0.018254179205686113
Cryobacterium arcticum,0.017931767675228766
